req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,02:30:23,12779,0,12779,137,0,0,0,3
2,02:30:29,20273,12736,7537,110,6,0,6,3
3,02:30:39,22525,20224,2301,104,10,0,10,3
4,02:30:48,23854,22464,1390,89,9,0,9,1
5,02:31:19,24363,23808,555,150,31,0,31,1
6,02:31:39,24529,24320,209,534,20,0,20,2
7,02:31:56,51069,48640,2429,220,15,0,15,2
8,02:32:30,25698,24512,1186,279,17,0,17,1
9,02:32:45,26165,25408,757,177,14,0,14,1
10,02:33:06,26369,25408,961,301,21,0,21,1
11,02:33:42,26866,26368,498,1411,36,0,36,2
12,02:34:36,28651,25664,2987,920,51,0,51,2
13,02:35:07,29940,28608,1332,205,30,0,30,1
14,02:35:44,30173,26176,3997,1320,37,0,37,1
15,02:36:14,32151,24320,7831,96,17,0,17,1
16,02:36:28,32433,32128,305,111,13,0,13,1
17,02:36:45,32572,28672,3900,290,17,0,17,3
18,02:37:12,33178,32512,666,778,27,0,27,1
19,02:37:36,34597,28672,5925,240,18,0,18,1
20,02:38:15,35603,30208,5395,312,17,0,17,1
21,02:38:33,35931,35584,347,229,18,0,18,1
22,02:38:49,36198,32192,4006,372,16,0,16,1
23,02:39:30,36754,0,36754,1532,39,0,39,1
24,02:39:59,38959,32192,6767,114,14,0,14,1
25,02:40:19,39109,32192,6917,421,20,0,20,1
26,02:41:26,81031,71616,9415,416,19,0,19,2
27,02:42:02,40776,38976,1800,704,23,0,23,1
28,02:42:27,41995,35968,6027,154,17,0,17,1
29,02:43:05,42819,38976,3843,169,16,0,16,1
30,02:43:32,43666,38976,4690,118,18,0,18,1
31,02:43:46,43810,42048,1762,70,14,0,14,1
32,02:44:31,138572,126144,12428,3119,36,0,36,3
