req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,06:33:50,12779,0,12779,125,0,0,0,3
2,06:33:57,20570,12736,7834,272,6,0,6,3
3,06:34:03,22935,20544,2391,206,6,0,6,3
4,06:34:29,44196,22912,21284,570,26,0,26,1
5,06:34:37,45190,44160,1030,187,8,0,8,1
6,06:34:54,45393,45184,209,418,17,0,17,2
7,06:35:15,92592,90368,2224,249,18,0,18,2
8,06:35:56,46474,45376,1098,534,20,0,20,3
9,06:36:25,47318,46464,854,1056,29,0,29,2
10,06:37:10,48750,47296,1454,2301,45,0,45,4
11,06:37:58,51477,48704,2773,2019,48,0,48,1
12,06:38:28,54142,45184,8958,136,13,0,13,1
13,06:38:58,54932,46208,8724,87,15,0,15,1
14,06:39:11,55035,54912,123,290,13,0,13,1
15,06:39:29,55503,54976,527,319,18,0,18,1
16,06:39:47,55996,55488,508,333,17,0,17,1
17,06:40:30,57091,46464,10627,176,19,0,19,1
18,06:40:48,57283,57088,195,406,18,0,18,1
19,06:41:17,58208,54144,4064,120,22,0,22,1
20,06:41:44,58991,54144,4847,133,16,0,16,1
21,06:42:36,59844,54976,4868,158,24,0,24,1
22,06:43:28,60643,58304,2339,106,13,0,13,1
23,06:43:46,60775,58304,2471,330,18,0,18,1
24,06:44:04,61291,60736,555,287,18,0,18,1
25,06:44:22,61766,61248,518,311,17,0,17,3
26,06:44:49,62391,61760,631,1161,27,0,27,3
27,06:45:44,63870,62336,1534,2777,55,0,55,1
28,06:46:25,67306,59072,8234,106,29,0,29,1
29,06:46:42,67440,60672,6768,117,17,0,17,1
30,06:46:59,67743,67392,351,411,16,0,16,3
31,06:47:21,68468,67712,756,630,21,0,21,1
32,06:48:23,69792,59072,10720,2438,40,0,40,1
33,06:48:39,72271,69760,2511,289,16,0,16,1
