req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,03:26:15,12779,0,12779,144,0,0,0,4
2,03:26:27,19323,12736,6587,547,12,0,12,4
3,03:26:37,35722,19264,16458,385,10,0,10,3
4,03:26:48,46669,35712,10957,532,11,0,11,4
5,03:27:01,48768,46656,2112,455,13,0,13,1
6,03:27:13,49239,48704,535,177,12,0,12,1
7,03:28:15,49431,49216,215,2468,62,0,62,4
8,03:28:57,52627,48704,3923,1604,37,0,37,5
9,03:29:46,55151,52608,2543,1833,43,0,43,4
10,03:30:40,57408,55104,2304,2058,54,0,54,1
11,03:31:12,60124,48768,11356,125,18,0,18,1
12,03:31:30,60433,55168,5265,491,17,0,17,1
13,03:32:48,61666,55168,6498,541,30,0,30,1
14,03:33:25,62395,55168,7227,1785,35,0,35,1
15,03:33:41,64221,62336,1885,223,16,0,16,1
