req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,02:46:16,12779,0,12779,169,0,0,0,3
2,02:46:24,19690,12736,6954,279,8,0,8,4
3,02:46:29,22421,19648,2773,112,5,0,5,3
4,02:46:45,43584,22400,21184,582,16,0,16,1
5,02:46:52,44587,43520,1067,186,7,0,7,1
6,02:47:25,44789,44544,245,511,33,0,33,2
7,02:47:53,45660,44544,1116,910,26,0,26,2
8,02:48:35,46624,44544,2080,525,42,0,42,5
9,02:49:06,47676,46592,1084,1286,31,0,31,2
10,02:49:37,49196,47616,1580,1015,31,0,31,2
11,02:50:06,50594,49152,1442,989,29,0,29,1
12,02:50:46,52232,44544,7688,130,14,0,14,1
13,02:51:18,53017,45696,7321,109,11,0,11,1
14,02:51:37,53298,52992,306,350,18,0,18,1
15,02:51:59,53833,53248,585,497,22,0,22,1
16,02:52:38,54521,53824,697,1407,39,0,39,2
17,02:52:56,56164,54464,1700,406,18,0,18,1
18,02:53:39,57232,46656,10576,125,33,0,33,1
19,02:54:18,117387,110208,7179,1713,39,0,39,2
20,02:56:07,60591,52224,8367,103,35,0,35,1
21,02:56:48,61348,57280,4068,181,17,0,17,1
22,02:57:04,61712,59904,1808,359,15,0,15,1
23,02:57:25,62704,60608,2096,126,16,0,16,1
24,02:58:19,63593,59904,3689,896,31,0,31,1
25,02:58:40,65030,59904,5126,100,12,0,12,1
26,02:59:22,65813,60608,5205,117,19,0,19,1
27,02:59:40,66116,65792,324,253,18,0,18,1
28,03:00:04,134403,127360,7043,686,23,0,23,2
29,03:01:42,68566,63680,4886,93,15,0,15,1
30,03:02:34,69317,66560,2757,159,32,0,32,1
31,03:03:05,70131,67840,2291,214,13,0,13,1
32,03:03:36,70537,70080,457,1307,31,0,31,1
33,03:04:45,222912,215808,7104,3301,48,0,48,3
