req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,05:29:54,12779,0,12779,158,0,0,0,3
2,05:30:01,19961,12736,7225,280,7,0,7,2
3,05:30:04,22810,19904,2906,130,2,0,2,3
4,05:30:10,43991,22784,21207,378,6,0,6,3
5,05:30:16,45534,43968,1566,210,6,0,6,1
6,05:30:32,45760,45504,256,533,16,0,16,2
7,05:31:01,46658,45504,1154,1276,26,0,26,4
8,05:31:20,48444,46656,1788,786,19,0,19,2
9,05:31:50,49613,48384,1229,1634,29,0,29,1
10,05:32:32,51896,45504,6392,133,14,0,14,1
11,05:32:45,52057,45760,6297,168,13,0,13,1
12,05:33:00,52399,52032,367,290,14,0,14,1
13,05:33:43,53455,46656,6799,414,18,0,18,1
14,05:33:57,53885,53440,445,151,14,0,14,1
15,05:34:20,54558,51904,2654,156,16,0,16,1
16,05:34:56,111686,97920,13766,277,15,0,15,2
17,05:36:20,57011,53504,3507,140,13,0,13,1
18,05:36:35,57187,54592,2595,171,15,0,15,1
19,05:37:43,58012,55424,2588,157,8,0,8,1
20,05:37:53,58197,57024,1173,78,10,0,10,1
21,05:38:32,119476,114304,5172,2009,32,0,32,2
