req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,04:07:55,12779,0,12779,129,0,0,0,3
2,04:08:08,20375,12736,7639,312,12,0,12,3
3,04:08:15,22574,20352,2222,180,7,0,7,3
4,04:08:20,43805,22528,21277,44,5,0,5,1
5,04:08:26,44268,43776,492,172,6,0,6,1
6,04:08:42,44456,44224,232,377,16,0,16,2
7,04:09:02,45194,44224,970,272,17,0,17,2
8,04:09:37,45520,44224,1296,1331,35,0,35,4
9,04:10:26,47357,45504,1853,1248,49,0,49,3
10,04:11:04,49100,45184,3916,1750,35,0,35,1
11,04:11:49,51498,44224,7274,300,14,0,14,2
12,04:12:05,52007,51456,551,267,16,0,16,1
13,04:13:19,53042,49088,3954,651,21,0,21,2
14,04:13:46,53985,52992,993,967,26,0,26,1
15,04:14:10,111598,104512,7086,2476,20,0,20,2
16,04:15:39,58035,56064,1971,4529,63,0,63,1
