req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,06:16:14,12779,0,12779,129,0,0,0,3
2,06:16:19,19990,12736,7254,103,5,0,5,2
3,06:16:26,22447,19968,2479,172,6,0,6,3
4,06:16:35,43670,22400,21270,314,9,0,9,1
5,06:16:42,44407,43648,759,214,7,0,7,1
6,06:16:52,44637,44352,285,146,10,0,10,1
7,06:17:10,44798,44608,190,625,18,0,18,2
8,06:17:44,45785,44352,1433,1239,31,0,31,3
9,06:18:48,47576,44352,3224,3341,60,0,60,4
10,06:20:00,51666,45760,5906,3544,69,0,69,2
11,06:21:53,55589,51648,3941,3151,113,0,113,1
12,06:22:35,59407,44416,14991,212,12,0,12,1
13,06:22:59,59803,47616,12187,610,23,0,23,1
14,06:23:58,61163,51648,9515,633,23,0,23,1
15,06:24:30,61981,51712,10269,1219,30,0,30,1
16,06:24:55,63729,59392,4337,198,17,0,17,1
17,06:25:25,64593,61184,3409,209,18,0,18,1
18,06:26:02,64989,62016,2973,1262,35,0,35,1
19,06:26:32,66909,63744,3165,338,19,0,19,1
20,06:27:33,67910,64576,3334,589,20,0,20,1
21,06:27:56,68684,65024,3660,694,22,0,22,3
22,06:29:14,69781,68672,1109,3952,77,0,77,1
23,06:29:32,74404,59456,14948,136,7,0,7,1
24,06:29:59,75221,61184,14037,142,15,0,15,1
25,06:30:16,75546,68736,6810,363,16,0,16,1
26,06:30:48,76582,64640,11942,314,16,0,16,1
27,06:31:15,77564,66944,10620,344,19,0,19,1
28,06:32:23,78456,75584,2872,4322,59,0,59,2
29,06:32:39,82859,78400,4459,314,16,0,16,1
