req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,06:08:18,12779,0,12779,156,0,0,0,4
2,06:08:24,20896,12736,8160,212,6,0,6,3
3,06:08:28,22951,20864,2087,85,4,0,4,2
4,06:08:35,23460,22912,548,177,6,0,6,2
5,06:08:44,24115,23424,691,383,9,0,9,1
6,06:08:53,24513,24064,449,37,9,0,9,1
7,06:09:03,24566,24512,54,88,10,0,10,1
8,06:09:15,24669,24512,157,308,12,0,12,2
9,06:09:39,25336,24640,696,666,22,0,22,2
10,06:10:00,26314,24064,2250,639,19,0,19,3
11,06:10:31,27456,24576,2880,1308,28,0,28,3
12,06:10:58,29081,27392,1689,1234,27,0,27,1
13,06:11:32,30511,29056,1455,1751,34,0,34,1
14,06:12:26,32926,24128,8798,276,23,0,23,1
15,06:12:49,33327,26368,6959,695,22,0,22,2
16,06:13:06,34662,33280,1382,409,15,0,15,1
17,06:14:14,35838,27456,8382,323,13,0,13,1
18,06:14:49,36346,32896,3450,2380,33,0,33,2
19,06:15:03,38807,36288,2519,228,14,0,14,1
