req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,05:39:57,12779,0,12779,151,0,0,0,4
2,05:40:03,20833,12736,8097,146,6,0,6,4
3,05:40:11,42901,20800,22101,513,8,0,8,4
4,05:40:16,44965,42880,2085,202,5,0,5,1
5,05:40:31,45183,44928,255,576,15,0,15,2
6,05:40:45,46105,45120,985,333,12,0,12,1
7,05:41:02,46467,44928,1539,599,17,0,17,1
8,05:41:24,47092,44928,2164,699,22,0,22,4
9,05:41:51,48218,47040,1178,1135,27,0,27,2
10,05:42:38,49740,48192,1548,2984,47,0,47,1
11,05:43:28,53373,44928,8445,120,17,0,17,1
12,05:43:42,53521,46144,7377,271,14,0,14,1
13,05:43:54,53966,53504,462,255,11,0,11,1
14,05:44:12,54238,53952,286,658,18,0,18,1
15,05:44:35,54924,46464,8460,1050,23,0,23,1
16,05:45:12,56727,47104,9623,323,14,0,14,1
17,05:45:26,57078,53376,3702,328,14,0,14,1
18,05:45:48,57935,53376,4559,265,14,0,14,1
19,05:46:23,58870,53376,5494,128,13,0,13,1
20,05:47:05,59675,54976,4699,261,13,0,13,1
21,05:47:47,60597,57152,3445,158,12,0,12,1
22,05:48:01,60781,57984,2797,143,14,0,14,1
23,05:48:22,61111,58880,2231,875,20,0,20,1
24,05:48:35,62015,59712,2303,378,13,0,13,1
25,05:49:19,63052,56768,6284,158,28,0,28,1
26,05:49:35,63236,59712,3524,431,16,0,16,1
27,05:50:03,64337,60608,3729,156,14,0,14,1
28,05:50:18,64521,62016,2505,137,15,0,15,1
29,05:50:58,65244,57984,7260,223,15,0,15,1
30,05:51:22,66136,63104,3032,82,10,0,10,1
31,05:51:36,66256,64384,1872,166,13,0,13,1
32,05:51:56,66609,65280,1329,592,19,0,19,1
33,05:52:08,67260,64448,2812,247,12,0,12,1
34,05:52:42,68162,66176,1986,100,10,0,10,1
35,05:52:53,68290,66624,1666,145,11,0,11,1
36,05:53:20,68622,67264,1358,1233,26,0,26,1
37,05:53:43,69894,66176,3718,1078,23,0,23,1
38,05:53:58,70998,68160,2838,481,15,0,15,1
39,05:54:23,72133,68288,3845,50,12,0,12,1
40,05:54:35,72209,68160,4049,147,12,0,12,1
41,05:55:05,72539,72192,347,1674,30,0,30,1
42,05:55:21,74241,69888,4353,355,16,0,16,3
43,05:55:53,74911,74240,671,1595,31,0,31,1
44,05:56:24,76534,71040,5494,1446,31,0,31,1
45,05:56:41,78487,72128,6359,132,11,0,11,1
46,05:57:11,79289,72128,7161,341,15,0,15,1
47,05:58:25,80295,76544,3751,485,11,0,11,1
48,05:59:07,80796,80256,540,1705,42,0,42,1
49,05:59:30,83160,78528,4632,374,14,0,14,1
50,06:00:25,84218,72128,12090,742,21,0,21,1
51,06:00:42,84986,79360,5626,400,17,0,17,1
52,06:01:45,86051,80320,5731,145,13,0,13,1
53,06:01:59,86224,80832,5392,123,14,0,14,1
54,06:02:12,86375,84224,2151,175,13,0,13,1
55,06:02:44,87247,83200,4047,63,14,0,14,1
56,06:03:05,176384,172224,4160,740,19,0,19,2
57,06:03:52,88936,87232,1704,322,13,0,13,1
58,06:04:07,89446,88896,550,471,14,0,14,2
59,06:04:38,90291,89408,883,1748,30,0,30,1
60,06:05:14,92065,87296,4769,1892,36,0,36,1
61,06:05:49,94610,87488,7122,177,28,0,28,1
62,06:06:50,95554,88896,6658,3885,41,0,41,2
63,06:07:07,99521,95552,3969,289,17,0,17,1
