req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,05:15:12,12779,0,12779,229,0,0,0,4
2,05:15:18,20844,12736,8108,259,6,0,6,4
3,05:15:25,23270,20800,2470,303,7,0,7,4
4,05:15:30,45045,23232,21813,185,5,0,5,1
5,05:15:58,45246,44992,254,799,28,0,28,1
6,05:16:14,46061,45184,877,407,16,0,16,2
7,05:16:51,46833,44992,1841,1508,34,0,34,3
8,05:17:28,48892,45248,3644,1481,33,0,33,4
9,05:18:44,51105,46848,4257,3719,71,0,71,2
10,05:19:05,55207,51072,4135,1004,20,0,20,3
11,05:19:36,56624,55168,1456,1070,30,0,30,3
12,05:20:20,58258,56576,1682,2425,44,0,44,1
13,05:20:48,60875,58240,2635,1634,28,0,28,1
14,05:21:26,63165,45056,18109,135,12,0,12,1
15,05:21:43,63482,51072,12410,514,15,0,15,1
16,05:23:03,64771,51136,13635,1048,19,0,19,1
17,05:23:21,65993,64768,1225,558,17,0,17,1
18,05:23:42,66736,65984,752,356,21,0,21,2
19,05:24:04,67304,66688,616,859,22,0,22,1
20,05:24:30,68690,63168,5522,434,19,0,19,1
21,05:25:05,69790,64768,5022,227,18,0,18,1
22,05:26:26,70670,65984,4686,1354,24,0,24,2
23,05:26:47,72403,63488,8915,591,19,0,19,2
24,05:27:09,73875,72384,1491,838,22,0,22,1
25,05:27:38,75377,69824,5553,148,15,0,15,1
26,05:28:30,154749,140992,13757,2489,35,0,35,2
