req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,07:16:36,12779,0,12779,128,0,0,0,3
2,07:16:45,18428,12736,5692,472,9,0,9,2
3,07:16:59,21505,18368,3137,889,14,0,14,4
4,07:17:07,24154,21504,2650,230,8,0,8,4
5,07:17:11,27452,24128,3324,86,4,0,4,2
6,07:17:16,27950,27392,558,83,5,0,5,1
7,07:17:25,28458,27904,554,442,9,0,9,1
8,07:17:39,28916,28416,500,242,14,0,14,1
9,07:17:52,29173,28864,309,247,13,0,13,2
10,07:18:10,29779,28416,1363,297,15,0,15,1
11,07:18:47,30103,28416,1687,1325,37,0,37,5
12,07:19:32,32360,28416,3944,1708,40,0,40,5
13,07:20:14,34599,32320,2279,1708,41,0,41,5
14,07:20:42,36921,34560,2361,889,27,0,27,4
15,07:22:09,38170,36864,1306,4344,87,0,87,1
16,07:22:26,43161,32320,10841,127,8,0,8,1
17,07:22:53,43460,43136,324,1215,26,0,26,1
18,07:23:39,45444,32320,13124,393,20,0,20,2
19,07:24:45,46191,43136,3055,1907,63,0,63,1
20,07:25:01,48617,43136,5481,166,7,0,7,1
21,07:25:24,49438,43456,5982,99,12,0,12,1
22,07:25:54,50181,46208,3973,108,14,0,14,1
23,07:26:33,50934,43136,7798,147,23,0,23,2
24,07:26:57,51442,48640,2802,635,23,0,23,1
25,07:27:21,52722,49472,3250,267,20,0,20,1
26,07:27:44,53685,45504,8181,399,18,0,18,1
27,07:28:59,54778,50240,4538,757,26,0,26,2
28,07:29:57,55905,52800,3105,1969,55,0,55,1
29,07:30:42,58429,53696,4733,2410,34,0,34,2
30,07:30:58,60919,58368,2551,270,16,0,16,1
