req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,03:34:51,12779,0,12779,174,0,0,0,3
2,03:34:58,18474,12736,5738,209,7,0,7,3
3,03:35:14,22670,18432,4238,591,16,0,16,3
4,03:35:25,25669,22656,3013,445,11,0,11,2
5,03:35:34,26183,25664,519,47,9,0,9,1
6,03:35:39,80180,79488,692,122,5,0,5,4
7,03:35:56,40069,26816,13253,160,7,0,7,2
8,03:36:04,44435,40064,4371,294,8,0,8,1
9,03:36:19,44745,44416,329,356,15,0,15,2
10,03:36:41,91188,88832,2356,249,20,0,20,2
11,03:37:11,45772,44736,1036,413,16,0,16,5
12,03:38:26,47112,44416,2696,3535,69,0,69,2
13,03:39:16,50947,47104,3843,2552,50,0,50,1
14,03:39:46,54138,47104,7034,124,15,0,15,1
15,03:40:08,54446,47104,7342,656,21,0,21,1
16,03:42:01,55855,47104,8751,2845,65,0,65,2
17,03:42:15,58781,55808,2973,245,13,0,13,1
