req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,04:16:48,12779,0,12779,150,0,0,0,3
2,04:16:55,20396,12736,7660,228,6,0,6,1
3,04:17:02,21788,20352,1436,300,7,0,7,4
4,04:17:07,23609,21760,1849,126,5,0,5,3
5,04:17:23,44798,23552,21246,923,16,0,16,1
6,04:17:30,46140,44736,1404,204,7,0,7,1
7,04:17:55,46360,46080,280,949,25,0,25,2
8,04:18:17,47660,46080,1580,541,20,0,20,2
9,04:18:35,48573,46144,2429,411,17,0,17,1
10,04:19:00,49013,46336,2677,963,25,0,25,3
11,04:19:35,50525,47616,2909,1842,33,0,33,4
12,04:20:07,52879,50496,2383,1520,32,0,32,2
13,04:20:38,54691,47680,7011,1176,29,0,29,3
14,04:21:17,56421,48576,7845,1988,36,0,36,4
15,04:21:45,58832,56384,2448,1243,28,0,28,4
16,04:22:15,60435,58816,1619,1121,29,0,29,5
17,04:23:00,62086,60416,1670,2253,45,0,45,2
18,04:24:08,64596,54720,9876,4129,66,0,66,5
19,04:25:10,69257,64576,4681,3534,62,0,62,4
20,04:26:01,73218,69248,3970,2880,51,0,51,1
21,04:26:31,76734,56384,20350,118,7,0,7,1
22,04:26:45,77035,56448,20587,268,13,0,13,1
23,04:27:25,78056,64576,13480,245,17,0,17,1
24,04:27:49,78483,64576,13907,765,22,0,22,2
25,04:28:32,79556,46144,33412,2201,41,0,41,1
26,04:28:54,82291,76736,5555,167,14,0,14,1
27,04:29:25,83114,78080,5034,161,13,0,13,1
28,04:30:09,83951,76736,7215,144,15,0,15,1
29,04:30:56,84779,82304,2475,183,18,0,18,1
30,04:31:14,85148,84736,412,481,18,0,18,3
31,04:31:34,85947,85120,827,644,20,0,20,1
32,04:32:12,87246,83136,4110,617,24,0,24,1
33,04:32:42,88521,83200,5321,434,20,0,20,1
34,04:33:12,89491,83968,5523,130,13,0,13,1
35,04:33:53,90275,84800,5475,234,18,0,18,1
36,04:34:17,90647,87296,3351,570,23,0,23,4
37,04:34:44,91642,90624,1018,991,27,0,27,3
38,04:35:29,93029,89472,3557,2327,44,0,44,5
39,04:36:00,95875,92992,2883,1243,31,0,31,2
40,04:36:31,97500,95872,1628,1231,31,0,31,1
41,04:36:49,98775,97472,1303,521,18,0,18,1
42,04:37:39,99959,84032,15927,377,19,0,19,1
43,04:38:11,100527,99904,623,1133,32,0,32,3
44,04:38:31,102873,100480,2393,669,20,0,20,1
45,04:38:59,104194,90304,13890,116,15,0,15,1
46,04:39:50,104917,93056,11861,275,17,0,17,2
47,04:40:17,105575,104896,679,1072,27,0,27,3
48,04:40:44,107219,105536,1683,1174,27,0,27,5
49,04:41:07,108914,107200,1714,780,23,0,23,2
50,04:41:23,109987,84800,25187,277,14,0,14,1
51,04:42:30,110447,100032,10415,3438,66,0,66,1
52,04:42:50,114550,104256,10294,144,10,0,10,1
53,04:43:58,114882,104960,9922,3521,67,0,67,1
54,04:44:55,119026,105024,14002,178,8,0,8,2
55,04:45:30,119500,110016,9484,1350,34,0,34,2
56,04:46:00,121239,119488,1751,1349,30,0,30,1
57,04:46:39,122780,121216,1564,1790,38,0,38,1
58,04:47:25,125332,114560,10772,327,7,0,7,2
59,04:47:54,126039,114944,11095,1182,28,0,28,1
60,04:48:30,127877,119040,8837,512,19,0,19,1
61,04:48:52,129045,119552,9493,58,16,0,16,1
62,04:49:17,129625,114624,15001,310,17,0,17,3
63,04:49:55,130332,126080,4252,1684,37,0,37,1
64,04:50:20,132680,119104,13576,156,19,0,19,1
65,04:51:37,133497,125376,8121,253,38,0,38,1
66,04:52:19,134413,127936,6477,161,17,0,17,2
67,04:52:48,134796,130368,4428,1110,28,0,28,1
68,04:53:47,136573,129088,7485,326,19,0,19,1
69,04:54:18,137421,129664,7757,249,23,0,23,1
70,04:54:48,138333,132736,5597,226,19,0,19,2
71,04:55:13,138932,138304,628,738,24,0,24,1
72,04:55:34,139809,134848,4961,416,20,0,20,1
73,04:56:42,140990,133568,7422,806,23,0,23,2
74,04:57:44,142171,138368,3803,3486,60,0,60,3
75,04:58:11,145971,142144,3827,985,27,0,27,1
76,04:58:35,147630,134464,13166,162,18,0,18,1
77,04:59:28,148576,137472,11104,278,15,0,15,1
78,05:00:03,149040,142208,6832,1334,33,0,33,1
79,05:00:23,150912,141056,9856,84,13,0,13,1
80,05:00:49,151662,148608,3054,111,12,0,12,1
81,05:01:21,152420,149056,3364,221,15,0,15,1
82,05:01:52,153295,150912,2383,134,15,0,15,1
83,05:02:52,154085,151680,2405,3442,49,0,49,1
84,05:03:21,157568,154048,3520,2073,29,0,29,1
85,05:03:36,159684,157504,2180,275,15,0,15,1
