req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,03:43:24,12779,0,12779,203,0,0,0,3
2,03:43:28,19466,12736,6730,142,4,0,4,2
3,03:43:37,22557,19456,3101,315,9,0,9,3
4,03:43:41,24240,22528,1712,100,4,0,4,3
5,03:43:46,45391,24192,21199,282,4,0,4,1
6,03:43:52,46098,45376,722,179,6,0,6,1
7,03:44:13,46293,46080,213,765,21,0,21,2
8,03:44:33,47419,46080,1339,369,17,0,17,2
9,03:44:57,47842,46080,1762,873,24,0,24,3
10,03:45:37,49270,47424,1846,2064,38,0,38,4
11,03:46:14,51915,47808,4107,1864,34,0,34,1
12,03:47:01,54434,46080,8354,175,12,0,12,1
13,03:47:14,54635,49280,5355,209,13,0,13,1
14,03:47:34,55020,54592,428,554,19,0,19,1
15,03:47:50,56230,51904,4326,196,11,0,11,1
16,03:48:25,114662,111552,3110,271,15,0,15,2
17,03:48:51,57535,54464,3071,165,14,0,14,1
18,03:49:16,57884,54464,3420,1130,24,0,24,1
19,03:49:42,59530,56256,3274,202,18,0,18,1
20,03:50:40,60398,56256,4142,188,14,0,14,1
21,03:51:52,122746,117120,5626,241,21,0,21,2
22,03:52:35,61712,61440,272,603,22,0,22,2
23,03:53:01,62553,59584,2969,1017,24,0,24,1
24,03:53:28,64240,60416,3824,116,13,0,13,1
25,03:54:23,64984,61312,3672,726,21,0,21,1
26,03:54:38,199654,194560,5094,2070,15,0,15,3
