req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,07:03:33,12779,0,12779,351,0,0,0,4
2,07:03:43,19530,12736,6794,487,10,0,10,4
3,07:03:51,27814,19520,8294,447,8,0,8,2
4,07:04:25,30881,27776,3105,979,34,0,34,3
5,07:04:47,52911,30848,22063,1183,21,0,21,2
6,07:05:11,55859,52864,2995,1155,23,0,23,3
7,07:05:36,60648,55808,4840,1245,25,0,25,4
8,07:06:13,66254,60608,5646,1759,37,0,37,1
9,07:06:21,68028,66240,1788,42,8,0,8,1
10,07:06:44,68086,67968,118,639,23,0,23,2
11,07:07:10,69083,55808,13275,833,24,0,24,5
12,07:08:34,70831,55808,15023,4369,79,0,79,5
13,07:09:21,75893,70784,5109,1774,47,0,47,1
14,07:09:45,78323,70784,7539,143,12,0,12,1
15,07:10:00,78638,78272,366,332,14,0,14,1
16,07:11:04,79738,70784,8954,1261,31,0,31,1
17,07:11:34,81182,78336,2846,1024,28,0,28,1
18,07:12:02,82740,55872,26868,294,20,0,20,1
19,07:12:58,83694,79744,3950,318,31,0,31,1
20,07:13:22,84200,81216,2984,625,23,0,23,1
21,07:13:59,85475,78336,7139,497,22,0,22,1
22,07:14:34,173597,169856,3741,2824,33,0,33,2
23,07:15:27,89068,87424,1644,257,19,0,19,1
