req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,02:10:47,27537,12736,14801,258,0,0,0,2
2,02:10:51,21275,14720,6555,102,4,0,4,3
3,02:10:56,23541,21248,2293,70,5,0,5,2
4,02:11:01,36779,23488,13291,108,5,0,5,2
5,02:11:07,45191,36736,8455,132,6,0,6,1
6,02:11:26,45339,45184,155,552,19,0,19,2
7,02:11:59,46248,45184,1064,1280,31,0,31,3
8,02:12:32,48011,45184,2827,1273,32,0,32,2
9,02:12:53,49518,48000,1518,578,21,0,21,2
10,02:13:29,50330,49472,858,1399,36,0,36,5
11,02:14:22,52261,50304,1957,2535,53,0,53,4
12,02:15:38,55218,52224,2994,4253,76,0,76,2
13,02:16:10,59767,55168,4599,1404,31,0,31,2
14,02:17:06,61538,45312,16226,2629,53,0,53,1
15,02:17:32,64815,45184,19631,88,14,0,14,1
16,02:17:48,65094,48000,17094,280,15,0,15,1
17,02:19:06,66127,61504,4623,507,25,0,25,2
18,02:19:39,66924,61568,5356,1205,31,0,31,1
19,02:20:03,68657,64832,3825,322,18,0,18,1
20,02:21:20,69637,66112,3525,537,27,0,27,2
21,02:21:55,70553,66944,3609,1248,33,0,33,2
22,02:22:46,72177,70528,1649,2434,50,0,50,1
23,02:23:21,75270,68672,6598,420,19,0,19,1
24,02:24:39,76332,64832,11500,283,6,0,6,1
25,02:24:58,76801,76288,513,438,18,0,18,2
26,02:26:16,77389,76800,589,4109,77,0,77,1
27,02:26:29,81526,70592,10934,304,13,0,13,2
28,02:27:45,82213,81472,741,4294,76,0,76,2
29,02:28:09,86885,82176,4709,731,24,0,24,1
30,02:28:54,178648,156800,21848,2531,37,0,37,2
