req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,05:04:50,12779,0,12779,158,0,0,0,4
2,05:04:57,20773,12736,8037,397,7,0,7,4
3,05:05:02,23377,20736,2641,112,5,0,5,3
4,05:05:06,44540,23360,21180,263,4,0,4,1
5,05:05:12,45227,44480,747,166,6,0,6,1
6,05:05:25,45409,45184,225,234,13,0,13,1
7,05:05:46,45659,45376,283,695,21,0,21,2
8,05:06:09,46719,45184,1535,673,20,0,20,3
9,05:06:52,47796,45376,2420,1695,41,0,41,3
10,05:07:27,50059,45184,4875,1486,32,0,32,3
11,05:08:17,52094,47808,4286,2368,47,0,47,3
12,05:08:47,54856,52032,2824,1333,30,0,30,1
13,05:09:26,56837,50048,6789,206,15,0,15,1
14,05:09:40,57228,56832,396,139,14,0,14,1
15,05:09:58,57495,52096,5399,505,17,0,17,2
16,05:10:24,58206,57472,734,966,26,0,26,1
17,05:10:38,59365,58176,1189,352,14,0,14,1
18,05:11:55,60478,52096,8382,779,23,0,23,2
19,05:12:20,61489,60416,1073,888,25,0,25,1
20,05:12:41,62901,52096,10805,216,15,0,15,1
21,05:13:44,63775,56832,6943,2063,48,0,48,1
22,05:13:57,65879,63744,2135,246,13,0,13,1
