req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,03:06:38,12779,0,12779,136,0,0,0,3
2,03:06:43,19657,12736,6921,263,5,0,5,4
3,03:06:54,22372,19648,2724,528,11,0,11,4
4,03:07:08,44321,22336,21985,576,13,0,13,1
5,03:07:17,45318,44288,1030,293,9,0,9,1
6,03:07:38,45627,45312,315,628,21,0,21,2
7,03:07:56,46609,45568,1041,340,16,0,16,1
8,03:08:19,46978,45312,1666,552,23,0,23,2
9,03:08:59,47896,45312,2584,1566,38,0,38,2
10,03:09:17,49837,45632,4205,586,16,0,16,2
11,03:09:41,50786,46592,4194,792,22,0,22,4
12,03:10:10,52080,50752,1328,1139,29,0,29,2
13,03:14:08,53599,53568,31,2519,237,0,237,2
14,03:14:47,56486,47872,8614,1610,36,0,36,1
15,03:15:33,58745,45312,13433,126,24,0,24,1
16,03:16:12,59520,53632,5888,215,14,0,14,1
17,03:16:36,59907,59456,451,399,23,0,23,1
18,03:16:59,60501,59904,597,747,23,0,23,1
19,03:17:48,61904,56512,5392,117,11,0,11,1
20,03:18:43,62663,59520,3143,142,16,0,16,1
21,03:18:58,62991,58752,4239,235,14,0,14,1
22,03:19:36,63990,59520,4470,243,17,0,17,1
23,03:20:15,64417,59904,4513,1526,38,0,38,1
24,03:20:38,133721,120704,13017,198,15,0,15,2
25,03:22:13,67995,63040,4955,155,34,0,34,1
26,03:23:02,68835,61952,6883,187,7,0,7,1
27,03:23:16,69205,68800,405,135,13,0,13,1
28,03:23:36,69541,66560,2981,575,19,0,19,1
29,03:24:30,70782,67328,3454,1841,35,0,35,1
30,03:24:47,145968,143360,2608,809,17,0,17,2
